Mark,Athlete,Nation,Venue,Date,Sex,Event
26:17.5,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:20.3,Kenenisa Bekele,ETH,Ostrava,8-Jun-2004,male,10000m
26:22.7,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),1-Jun-1998,male,10000m
26:26.0,Kenenisa Bekele,ETH,"Eugene, OR",8-Jun-2008,male,10000m
26:27.9,Paul Tergat,KEN,Bruxelles,22-Aug-1997,male,10000m
26:28.7,Kenenisa Bekele,ETH,Hengelo,29-May-2005,male,10000m
26:29.2,Haile Gebrselassie,ETH,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:30.0,Nicholas Kemboi,KEN,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:30.7,Abebe Dinkesa,ETH,Hengelo,29-May-2005,male,10000m
26:31.3,Haile Gebrselassie,ETH,Oslo,4-Jul-1997,male,10000m
26:35.6,Micah Kipkemboi Kogo,KEN,Bruxelles (Boudewijnstadion),25-Aug-2006,male,10000m
26:36.3,Paul Kipsigich Koech,KEN,Bruxelles,22-Aug-1997,male,10000m
26:37.3,Zersenay Tadese,ERI,Bruxelles (Boudewijnstadion),25-Aug-2006,male,10000m
26:38.1,Salah Hissou,MAR,Bruxelles,23-Aug-1996,male,10000m
26:38.8,Ahmad Hassan Abdullah,QAT,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:39.7,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),31-May-2004,male,10000m
26:39.8,Boniface Toroitich Kiprop,UGA,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:41.6,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),31-May-2004,male,10000m
26:41.8,Samuel Kamau Wanjiru,KEN,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:42.0,Boniface Toroitich Kiprop,UGA,Bruxelles (Boudewijnstadion),25-Aug-2006,male,10000m
26:43.2,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:43.5,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),5-Jun-1995,male,10000m
26:44.0,Lucas Kimeli Rotich,KEN,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:44.4,Galen Rupp,USA,"Eugene (Hayward Field), OR",30-May-2014,male,10000m
26:46.2,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),14-Sep-2007,male,10000m
26:46.3,Kenenisa Bekele,ETH,Berlin (Olympiastadion),17-Aug-2009,male,10000m
26:46.4,Paul Tergat,KEN,Bruxelles,28-Aug-1998,male,10000m
26:46.6,Mohamed Farah,GBR,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:47.9,Paul Kipsigich Koech,KEN,Bruxelles,28-Aug-1998,male,10000m
26:48.0,Galen Rupp,USA,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:48.3,Imane Merga,ETH,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:48.7,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:49.0,Josphat Bett Kipkoech,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:49.0,Eliud Kipchoge,KEN,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:49.2,Moses Ndiema Masai,KEN,Bruxelles (Boudewijnstadion),14-Sep-2007,male,10000m
26:49.4,Sammy Kipketer Cheruiyot,KEN,Bruxelles,30-Aug-2002,male,10000m
26:49.4,Paul Kipngetich Tanui,KEN,"Eugene (Hayward Field), OR",30-May-2014,male,10000m
26:49.5,Moses Cheruiyot Mosop,KEN,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:49.6,Kenenisa Bekele,ETH,Paris Saint-Denis (Stade de France),24-Aug-2003,male,10000m
26:49.9,Assefa Mezgebu,ETH,Bruxelles,30-Aug-2002,male,10000m
26:50.1,Zersenay Tadese,ERI,Berlin (Olympiastadion),17-Aug-2009,male,10000m
26:50.2,Richard Kipkemei Limo,KEN,Bruxelles,30-Aug-2002,male,10000m
26:50.5,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),24-May-2008,male,10000m
26:50.6,Paul Kipngetich Tanui,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:50.7,Ahmad Hassan Abdullah,KEN,Bruxelles,30-Aug-2002,male,10000m
26:50.8,Haile Gebrselassie,ETH,Paris Saint-Denis (Stade de France),24-Aug-2003,male,10000m
26:51.0,Mohamed Farah,GBR,"Eugene (Hayward Field), OR",29-May-2015,male,10000m
26:51.0,Dejen Gebremeskel,ETH,Sollentuna,27-Jun-2013,male,10000m
26:51.1,Zersenay Tadese,ERI,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:51.1,Yigrem Demelash,ETH,Hengelo (Blankers-Koen Stadion),29-Jun-2016,male,10000m
26:51.2,Emmanuel Kipkemei Bett,KEN,Bruxelles (Boudewijnstadion),7-Sep-2012,male,10000m
26:51.2,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),24-May-2008,male,10000m
26:51.5,Charles Waweru Kamathi,KEN,Bruxelles,3-Sep-1999,male,10000m
26:51.7,Vincent Kiprop Chepkok,KEN,Bruxelles (Boudewijnstadion),7-Sep-2012,male,10000m
26:51.9,Paul Kipngetich Tanui,KEN,"Eugene (Hayward Field), OR",29-May-2015,male,10000m
26:51.9,Nicholas Kemboi,QAT,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:52.0,Emmanuel Kipkemei Bett,KEN,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:52.2,William Sigei,KEN,Oslo (Bislett),22-Jul-1994,male,10000m
26:52.3,Mohammed Mourhit,BEL,Bruxelles,3-Sep-1999,male,10000m
26:52.3,Gebregziabher Gebremariam,ETH,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:52.4,Bedan Karoki Muchiri,KEN,"Eugene (Hayward Field), OR",30-May-2014,male,10000m
26:52.6,Sammy Kipketer Cheruiyot,KEN,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:52.7,Kenneth Kiprop Kipkemoi,KEN,Bruxelles (Boudewijnstadion),7-Sep-2012,male,10000m
26:52.7,Geoffrey Kipsang Kamworor,KEN,"Eugene (Hayward Field), OR",29-May-2015,male,10000m
26:52.8,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:52.8,Sileshi Sihine,ETH,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:52.9,Abera Kuma,ETH,Sollentuna,27-Jun-2013,male,10000m
26:52.9,John Cheruiyot Korir,KEN,Bruxelles,30-Aug-2002,male,10000m
26:52.9,Mark Bett Kipkinyor,KEN,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:53.3,Eliud Kipchoge,KEN,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:53.7,Kenenisa Bekele,ETH,Hengelo (Blankers-Koen Stadion),1-Jun-2003,male,10000m
26:53.7,Mohamed Farah,GBR,"Eugene (Hayward Field), OR",27-May-2016,male,10000m
26:53.7,Gebregziabher Gebremariam,ETH,Ostrava,8-Jun-2004,male,10000m
26:54.3,Mathew Kipkoech Kisorio,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:54.3,Eliud Kipchoge,KEN,Hengelo (Blankers-Koen Stadion),24-May-2008,male,10000m
26:54.4,Paul Tergat,KEN,Bruxelles,23-Aug-1996,male,10000m
26:54.6,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),1-Jun-2003,male,10000m
26:54.6,Stephen Sambu,KEN,"Eugene (Hayward Field), OR",30-May-2014,male,10000m
26:54.6,Mark Kosgei Kiptoo,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:54.7,William Malel Sitonik,KEN,"Eugene (Hayward Field), OR",27-May-2016,male,10000m
26:55.3,Leonard Patrick Komon,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:55.7,Geoffrey Kipkorir Kirui,KEN,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:56.6,Richard Kipkemei Limo,KEN,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:56.7,Josphat Kiprono Menjo,KEN,Turku,29-Aug-2010,male,10000m
26:56.8,Paul Kipsigich Koech,KEN,Bruxelles,23-Aug-1996,male,10000m
26:57.1,Leonard Patrick Komon,KEN,Hengelo (Blankers-Koen Stadion),24-May-2008,male,10000m
26:57.3,Sileshi Sihine,ETH,Praha (Stadion Juliska),27-Jun-2005,male,10000m
26:57.3,Tamirat Tola,ETH,"Eugene (Hayward Field), OR",27-May-2016,male,10000m
26:57.3,Imane Merga,ETH,Sollentuna,27-Jun-2013,male,10000m
26:57.4,Josphat Muchiri Ndambiri,KEN,Fukuroi,3-May-2009,male,10000m
26:57.4,Moses Ndiema Masai,KEN,Berlin (Olympiastadion),17-Aug-2009,male,10000m
26:57.5,Tamirat Tola,ETH,Hengelo (Blankers-Koen Stadion),29-Jun-2016,male,10000m
26:57.6,Yigrem Demelash,ETH,Bruxelles (Boudewijnstadion),7-Sep-2012,male,10000m
26:57.9,Abadi Hadis,ETH,Hengelo (Blankers-Koen Stadion),29-Jun-2016,male,10000m
26:58.3,Stephen Sambu,KEN,"Eugene (Hayward Field), OR",27-May-2016,male,10000m
26:58.4,Yobes Ondieki,KEN,Oslo,10-Jul-1993,male,10000m
26:58.4,Josphat Muchiri Ndambiri,KEN,Tendo,16-May-2009,male,10000m
26:58.4,Micah Kipkemboi Kogo,KEN,Bruxelles (Boudewijnstadion),14-Sep-2007,male,10000m
26:58.8,Ibrahim Jeilan,ETH,"Eugene (Hayward Field), OR",27-May-2016,male,10000m
26:58.8,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),1-Jun-2003,male,10000m
9.58,Usain Bolt,JAM,Berlin (Olympiastadion),16-Aug-2009,male,100m
9.63,Usain Bolt,JAM,London (Olympic Stadium),5-Aug-2012,male,100m
9.69,Yohan Blake,JAM,Lausanne (Pontaise),23-Aug-2012,male,100m
9.69,Tyson Gay,USA,Shanghai,20-Sep-2009,male,100m
9.69,Usain Bolt,JAM,Beijing (National Stadium),16-Aug-2008,male,100m
9.71,Tyson Gay,USA,Berlin (Olympiastadion),16-Aug-2009,male,100m
9.72,Asafa Powell,JAM,Lausanne (Pontaise),2-Sep-2008,male,100m
9.72,Usain Bolt,JAM,"New York City (Icahn), NY",31-May-2008,male,100m
9.74,Asafa Powell,JAM,Rieti (Guidobaldi),9-Sep-2007,male,100m
9.74,Justin Gatlin,USA,Doha (Hamad Bin Suhaim),15-May-2015,male,100m
9.75,Yohan Blake,JAM,London (Olympic Stadium),5-Aug-2012,male,100m
9.75,Justin Gatlin,USA,Roma (Stadio Olimpico),4-Jun-2015,male,100m
9.75,Justin Gatlin,USA,Lausanne (Pontaise),9-Jul-2015,male,100m
9.75,Yohan Blake,JAM,"Kingston (NS), JAM",29-Jun-2012,male,100m
9.76,Yohan Blake,JAM,Zürich (Letzigrund),30-Aug-2012,male,100m
9.76,Usain Bolt,JAM,Roma (Stadio Olimpico),31-May-2012,male,100m
9.76,Usain Bolt,JAM,Bruxelles (Boudewijnstadion),16-Sep-2011,male,100m
9.76,Usain Bolt,JAM,"Kingston (NS), JAM",3-May-2008,male,100m
9.77,Usain Bolt,JAM,Bruxelles (Boudewijnstadion),5-Sep-2008,male,100m
9.77,Asafa Powell,JAM,Athína (Olympic Stadium),14-Jun-2005,male,100m
9.77,Asafa Powell,JAM,Rieti,7-Sep-2008,male,100m
9.77,Justin Gatlin,USA,Bruxelles (Boudewijnstadion),5-Sep-2014,male,100m
9.77,Usain Bolt,JAM,Moskva (Luzhniki),11-Aug-2013,male,100m
9.77,Tyson Gay,USA,"Eugene, OR",28-Jun-2008,male,100m
9.77,Justin Gatlin,USA,Beijing (National Stadium),23-Aug-2015,male,100m
9.77,Tyson Gay,USA,Roma (Stadio Olimpico),10-Jul-2009,male,100m
9.77,Asafa Powell,JAM,Zürich,18-Aug-2006,male,100m
9.77,Asafa Powell,JAM,Gateshead (International Stadium),11-Jun-2006,male,100m
9.78,Tyson Gay,USA,London (Crystal Palace),13-Aug-2010,male,100m
9.78,Asafa Powell,JAM,Lausanne (Pontaise),30-Jun-2011,male,100m
9.78,Nesta Carter,JAM,Rieti (Guidobaldi),29-Aug-2010,male,100m
9.78,Justin Gatlin,USA,Monaco (Stade Louis II),17-Jul-2015,male,100m
9.78,Asafa Powell,JAM,Rieti (Guidobaldi),9-Sep-2007,male,100m
9.79,Usain Bolt,JAM,Beijing (National Stadium),23-Aug-2015,male,100m
9.79,Usain Bolt,JAM,Paris Saint-Denis,17-Jul-2009,male,100m
9.79,Justin Gatlin,USA,London (Olympic Stadium),5-Aug-2012,male,100m
9.79,Usain Bolt,JAM,Oslo (Bislett),7-Jun-2012,male,100m
9.79,Tyson Gay,USA,"Clermont, FL",4-Jun-2011,male,100m
9.79,Tyson Gay,USA,Bruxelles (Boudewijnstadion),27-Aug-2010,male,100m
9.79,Maurice Greene,USA,Athína,16-Jun-1999,male,100m
9.8,Justin Gatlin,USA,Beijing (National Stadium),23-Aug-2015,male,100m
9.8,Usain Bolt,JAM,Bruxelles (Boudewijnstadion),6-Sep-2013,male,100m
9.8,Maurice Greene,USA,Sevilla (La Cartuja),22-Aug-1999,male,100m
9.8,Justin Gatlin,USA,Lausanne (Pontaise),3-Jul-2014,male,100m
9.8,Justin Gatlin,USA,"Eugene (Hayward Field), OR",3-Jul-2016,male,100m
9.8,Justin Gatlin,USA,"Eugene, OR",24-Jun-2012,male,100m
9.8,Steve Mullings,JAM,"Eugene (Hayward Field), OR",4-Jun-2011,male,100m
9.81,Usain Bolt,JAM,Zürich (Letzigrund),28-Aug-2009,male,100m
9.81,Asafa Powell,JAM,Paris Saint-Denis (Stade de France),4-Jul-2015,male,100m
9.81,Usain Bolt,JAM,Rio de Janeiro (Estádio Olímpico),14-Aug-2016,male,100m
9.82,Asafa Powell,JAM,Rieti,7-Sep-2008,male,100m
9.82,Asafa Powell,JAM,Monaco (Stade Louis II),29-Jul-2008,male,100m
9.82,Richard Thompson,TTO,Port of Spain,21-Jun-2014,male,100m
9.82,Justin Gatlin,USA,London (Olympic Stadium),5-Aug-2012,male,100m
9.82,Asafa Powell,JAM,Roma (Stadio Olimpico),10-Jun-2010,male,100m
9.82,Justin Gatlin,USA,Linz,14-Jul-2014,male,100m
9.82,Usain Bolt,JAM,"Kingston (NS), JAM",5-May-2012,male,100m
9.82,Usain Bolt,JAM,Lausanne (Pontaise),8-Jul-2010,male,100m
9.82,Yohan Blake,JAM,Zürich (Letzigrund),8-Sep-2011,male,100m
9.82,Asafa Powell,JAM,Szczecin,15-Sep-2009,male,100m
9.82,Yohan Blake,JAM,Berlin (Olympiastadion),11-Sep-2011,male,100m
9.82,Maurice Greene,USA,Edmonton (Commonwealth Stadium),5-Aug-2001,male,100m
9.83,Usain Bolt,JAM,Zürich (Letzigrund),29-Aug-2008,male,100m
9.83,Justin Gatlin,USA,Rieti (Guidobaldi),7-Sep-2014,male,100m
9.83,Justin Gatlin,USA,"Eugene (Hayward Field), OR",3-Jul-2016,male,100m
9.83,Asafa Powell,JAM,Ostrava (Mestský Stadion),27-May-2010,male,100m
9.83,Asafa Powell,JAM,Bruxelles (Boudewijnstadion),5-Sep-2008,male,100m
9.83,Asafa Powell,JAM,Stuttgart (Gottlieb-Daimler Stadion),22-Sep-2007,male,100m
9.84,Yohan Blake,JAM,"George Town, CAY",9-May-2012,male,100m
9.84,Trayvon Bromell,USA,"Eugene (Hayward Field), OR",25-Jun-2015,male,100m
9.84,Asafa Powell,JAM,"Kingston (NS), JAM",9-May-2015,male,100m
9.84,Usain Bolt,JAM,Paris Saint-Denis (Stade de France),16-Jul-2010,male,100m
9.84,Donovan Bailey,CAN,"Atlanta (Olympic Stadium), GA",27-Jul-1996,male,100m
9.84,Trayvon Bromell,USA,"Eugene (Hayward Field), OR",3-Jul-2016,male,100m
9.84,Asafa Powell,JAM,"Kingston (NS), JAM",26-Jun-2015,male,100m
9.84,Tyson Gay,USA,Stockholm (Olympiastadion),6-Aug-2010,male,100m
9.84,Asafa Powell,JAM,Berlin (Olympiastadion),16-Aug-2009,male,100m
9.84,Asafa Powell,JAM,Bruxelles (Boudewijnstadion),14-Sep-2007,male,100m
9.84,Tyson Gay,USA,"Indianapolis, IN",22-Jun-2007,male,100m
9.84,Tyson Gay,USA,Zürich,18-Aug-2006,male,100m
9.84,Asafa Powell,JAM,"Kingston, JAM",7-May-2005,male,100m
9.84,Bruny Surin,CAN,Sevilla (La Cartuja),22-Aug-1999,male,100m
9.85,Nesta Carter,JAM,Bruxelles (Boudewijnstadion),27-Aug-2010,male,100m
9.85,Asafa Powell,JAM,Paris Saint-Denis,8-Jul-2006,male,100m
9.85,Usain Bolt,JAM,Beijing (National Stadium),16-Aug-2008,male,100m
9.85,Asafa Powell,JAM,Shanghai,20-Sep-2009,male,100m
9.85,Richard Thompson,TTO,Port of Spain,13-Aug-2011,male,100m
9.85,Usain Bolt,JAM,Zagreb (Sports Park Mladost),13-Sep-2011,male,100m
9.85,Yohan Blake,JAM,Luzern,17-Jul-2012,male,100m
9.85,Asafa Powell,JAM,Oslo (Bislett),7-Jun-2012,male,100m
9.85,Mike Rodgers,USA,"Eugene (Hayward Field), OR",4-Jun-2011,male,100m
9.85,Usain Bolt,JAM,"Kingston (NS), JAM",28-Jun-2008,male,100m
9.85,Tyson Gay,USA,"New York City (Icahn), NY",31-May-2008,male,100m
9.85,Tyson Gay,USA,Osaka (Nagai Stadium),26-Aug-2007,male,100m
9.85,Asafa Powell,JAM,Roma (Stadio Olimpico),14-Jul-2006,male,100m
9.85,Olusoji A. Fasuba,NGR,Doha,12-May-2006,male,100m
9.85,Asafa Powell,JAM,Ostrava,9-Jun-2005,male,100m
9.85,Justin Gatlin,USA,Athína (Olympic Stadium),22-Aug-2004,male,100m
9.85,Maurice Greene,USA,Roma (Stadio Olimpico),7-Jul-1999,male,100m
9.85,Leroy Burrell,USA,Lausanne (Pontaise),6-Jul-1994,male,100m
12.8,Aries Merritt,USA,Bruxelles (Boudewijnstadion),7-Sep-2012,male,110mh
12.87,Dayron Robles,CUB,Ostrava,12-Jun-2008,male,110mh
12.88,Dayron Robles,CUB,Paris Saint-Denis,18-Jul-2008,male,110mh
12.88,Xiang Liu,CHN,Lausanne (Pontaise),11-Jul-2006,male,110mh
12.89,David Oliver,USA,Paris Saint-Denis (Stade de France),16-Jul-2010,male,110mh
12.9,Dominique Arnold,USA,Lausanne (Pontaise),11-Jul-2006,male,110mh
12.9,David Oliver,USA,"Eugene (Hayward Field), OR",3-Jul-2010,male,110mh
12.91,Xiang Liu,CHN,Athína (Olympic Stadium),27-Aug-2004,male,110mh
12.91,Dayron Robles,CUB,Stockholm,22-Jul-2008,male,110mh
12.91,Colin Jackson,GBR,Stuttgart (Gottlieb-Daimler Stadion),20-Aug-1993,male,110mh
12.92,Xiang Liu,CHN,"New York City (Icahn), NY",2-Jun-2007,male,110mh
12.92,Allen Johnson,USA,Bruxelles,23-Aug-1996,male,110mh
12.92,Allen Johnson,USA,"Atlanta, GA",23-Jun-1996,male,110mh
12.92,Dayron Robles,CUB,Stuttgart (Gottlieb-Daimler Stadion),23-Sep-2007,male,110mh
12.92,Roger Kingdom,USA,Zürich (Letzigrund),16-Aug-1989,male,110mh
12.92,Aries Merritt,USA,London (Olympic Stadium),8-Aug-2012,male,110mh
12.93,Aries Merritt,USA,"Eugene, OR",30-Jun-2012,male,110mh
12.93,Aries Merritt,USA,Monaco (Stade Louis II),20-Jul-2012,male,110mh
12.93,Renaldo Nehemiah,USA,Zürich,19-Aug-1981,male,110mh
12.93,Aries Merritt,USA,London (Crystal Palace),13-Jul-2012,male,110mh
12.93,David Oliver,USA,"Des Moines, IA",27-Jun-2010,male,110mh
12.93,Xiang Liu,CHN,Stuttgart (Gottlieb-Daimler Stadion),9-Sep-2006,male,110mh
12.93,Allen Johnson,USA,Athína (Olympic Stadium),7-Aug-1997,male,110mh
12.93,David Oliver,USA,Zürich (Letzigrund),19-Aug-2010,male,110mh
12.93,Dayron Robles,CUB,Beijing (National Stadium),21-Aug-2008,male,110mh
12.94,Jack Pierce,USA,"Atlanta, GA",22-Jun-1996,male,110mh
12.94,Orlando Ortega,CUB,Paris Saint-Denis (Stade de France),4-Jul-2015,male,110mh
12.94,Hansle Parchment,JAM,Paris Saint-Denis (Stade de France),5-Jul-2014,male,110mh
12.94,Aries Merritt,USA,London (Olympic Stadium),8-Aug-2012,male,110mh
12.94,David Oliver,USA,"Eugene (Hayward Field), OR",4-Jun-2011,male,110mh
12.95,Pascal Martinot-Lagarde,FRA,Monaco (Stade Louis II),18-Jul-2014,male,110mh
12.95,Aries Merritt,USA,"Birmingham (Alexander), GBR",26-Aug-2012,male,110mh
12.95,Dayron Robles,CUB,Dubnica nad Váhom,7-Sep-2008,male,110mh
12.95,David Oliver,USA,Doha,9-May-2008,male,110mh
12.95,Xiang Liu,CHN,Osaka (Nagai Stadium),31-Aug-2007,male,110mh
12.95,Terrence Trammell,USA,"New York City (Icahn), NY",2-Jun-2007,male,110mh
12.95,Allen Johnson,USA,"Atlanta (Olympic Stadium), GA",29-Jul-1996,male,110mh
12.96,Dayron Robles,CUB,Villeneuve-d'Ascq,27-Jun-2008,male,110mh
12.96,Allen Johnson,USA,Athína (Olympic Stadium),17-Sep-2006,male,110mh
12.97,Xiang Liu,CHN,Shanghai (SS),19-May-2012,male,110mh
12.97,Colin Jackson,GBR,Sestriere,28-Jul-1993,male,110mh
12.97,Dayron Robles,CUB,Zürich (Letzigrund),29-Aug-2008,male,110mh
12.97,Aries Merritt,USA,Berlin (Olympiastadion),2-Sep-2012,male,110mh
12.97,Roger Kingdom,USA,Sestriere,11-Aug-1988,male,110mh
12.97,Allen Johnson,USA,"Sacramento, CA",23-Jul-2000,male,110mh
12.97,Allen Johnson,USA,Stuttgart,13-Jul-1997,male,110mh
12.97,Ladji Doucouré,FRA,Angers,15-Jul-2005,male,110mh
12.97,Omar McLeod,JAM,"Kingston (NS), JAM",27-Jun-2015,male,110mh
12.97,Allen Johnson,USA,Paris Saint-Denis,4-Jul-2003,male,110mh
12.98,Sergey Shubenkov,RUS,Beijing (National Stadium),28-Aug-2015,male,110mh
12.98,Roger Kingdom,USA,Seoul (Olympic Stadium),26-Sep-1988,male,110mh
12.98,David Oliver,USA,Zürich (Letzigrund),29-Aug-2008,male,110mh
12.98,Colin Jackson,GBR,Tokyo,15-Sep-1994,male,110mh
12.98,Mark Crear,USA,Zagreb,5-Jul-1999,male,110mh
12.98,Omar McLeod,JAM,Shanghai,14-May-2016,male,110mh
12.98,Allen Johnson,USA,Zürich,12-Aug-1998,male,110mh
12.98,Allen Johnson,USA,Köln,18-Aug-1995,male,110mh
12.98,Jason Richardson,USA,"Birmingham (Alexander), GBR",26-Aug-2012,male,110mh
12.98,Jason Richardson,USA,"Eugene, OR",30-Jun-2012,male,110mh
12.98,Jason Richardson,USA,"Eugene, OR",30-Jun-2012,male,110mh
12.98,David Oliver,USA,Paris Saint-Denis (Stade de France),4-Jul-2015,male,110mh
12.99,Colin Jackson,GBR,Bruxelles,3-Sep-1993,male,110mh
12.99,David Oliver,USA,Shanghai (SS),23-May-2010,male,110mh
12.99,Allen Johnson,USA,"Carson, CA",24-Jun-2005,male,110mh
12.99,Colin Jackson,GBR,Madrid,6-Sep-1994,male,110mh
12.99,Ronnie Ash,USA,"Sacramento, CA",29-Jun-2014,male,110mh
12.99,Terrence Trammell,USA,Osaka (Nagai Stadium),31-Aug-2007,male,110mh
13,Xiang Liu,CHN,"Eugene (Hayward Field), OR",4-Jun-2011,male,110mh
13,Ladji Doucouré,FRA,Oslo,29-Jul-2005,male,110mh
13,Anier García,CUB,Sydney (Olympic Stadium),25-Sep-2000,male,110mh
13,Allen Johnson,USA,Göteborg (Ullevi Stadium),12-Aug-1995,male,110mh
13,Mark Crear,USA,Zürich,12-Aug-1998,male,110mh
13,Dayron Robles,CUB,Stuttgart (Gottlieb-Daimler Stadion),9-Sep-2006,male,110mh
13,David Oliver,USA,Moskva (Luzhniki),12-Aug-2013,male,110mh
13,Renaldo Nehemiah,USA,"Los Angeles (Westwood), CA",6-May-1979,male,110mh
13,Dayron Robles,CUB,Zagreb (Sports Park Mladost),13-Sep-2011,male,110mh
13,Tony Jarrett,GBR,Stuttgart (Gottlieb-Daimler Stadion),20-Aug-1993,male,110mh
13.01,Dayron Robles,CUB,Shanghai,28-Sep-2007,male,110mh
13.01,Omar McLeod,JAM,"Kingston (NS), JAM",2-Jul-2016,male,110mh
13.01,Larry Wade,USA,Lausanne (Pontaise),2-Jul-1999,male,110mh
13.01,David Oliver,USA,Rieti (Guidobaldi),29-Aug-2010,male,110mh
13.01,Dayron Robles,CUB,Zürich (Letzigrund),8-Sep-2011,male,110mh
13.01,David Oliver,USA,Monaco (Stade Louis II),22-Jul-2010,male,110mh
13.01,Allen Johnson,USA,Roma (Stadio Olimpico),7-Jul-1999,male,110mh
13.01,Dominique Arnold,USA,"Carson, CA",24-Jun-2005,male,110mh
13.01,Orlando Ortega,CUB,Monaco (Stade Louis II),18-Jul-2014,male,110mh
13.01,Dayron Robles,CUB,Lausanne (Pontaise),8-Jul-2010,male,110mh
13.01,Aries Merritt,USA,"Eugene, OR",30-Jun-2012,male,110mh
13.01,Allen Johnson,USA,Stuttgart (Gottlieb-Daimler Stadion),9-Sep-2006,male,110mh
13.01,Xiang Liu,CHN,Lausanne (Pontaise),10-Jul-2007,male,110mh
13.02,Mark Crear,USA,Luzern,27-Jun-1995,male,110mh
13.02,Terrence Trammell,USA,Lausanne (Pontaise),11-Jul-2006,male,110mh
13.02,Terrence Trammell,USA,"Carson, CA",24-Jun-2005,male,110mh
13.02,Colin Jackson,GBR,Budapest,22-Aug-1998,male,110mh
13.02,Colin Jackson,GBR,Budapest (Népstadion),22-Aug-1998,male,110mh
13.02,Roger Kingdom,USA,Berlin,18-Aug-1989,male,110mh
13.02,Colin Jackson,GBR,Berlin (Olympiastadion),30-Aug-1994,male,110mh
13.02,Ladji Doucouré,FRA,Paris Saint-Denis,1-Jul-2005,male,110mh
13.02,David Payne,USA,Osaka (Nagai Stadium),31-Aug-2007,male,110mh
13.02,Ryan Wilson,USA,"New York City (Icahn), NY",2-Jun-2007,male,110mh
03:26.0,Hicham El Guerrouj,MAR,Roma (Stadio Olimpico),14-Jul-1998,male,1500m
03:26.1,Hicham El Guerrouj,MAR,Bruxelles,24-Aug-2001,male,1500m
03:26.3,Bernard Lagat,KEN,Bruxelles,24-Aug-2001,male,1500m
03:26.5,Hicham El Guerrouj,MAR,Zürich,12-Aug-1998,male,1500m
03:26.7,Asbel Kiprop,KEN,Monaco (Stade Louis II),17-Jul-2015,male,1500m
03:26.9,Hicham El Guerrouj,MAR,Zürich,16-Aug-2002,male,1500m
03:27.0,Hicham El Guerrouj,MAR,Rieti,8-Sep-2002,male,1500m
03:27.2,Hicham El Guerrouj,MAR,Zürich,11-Aug-2000,male,1500m
03:27.3,Hicham El Guerrouj,MAR,Monaco (Stade Louis II),19-Jul-2002,male,1500m
03:27.4,Noureddine Morceli,ALG,Nice,12-Jul-1995,male,1500m
03:27.4,Bernard Lagat,KEN,Zürich,6-Aug-2004,male,1500m
03:27.5,Noureddine Morceli,ALG,Monaco (Stade Louis II),25-Jul-1995,male,1500m
