,EnteroCount,FourDayRainTotal
321,6.0,0.1
322,38.0,1.4
323,45.0,1.5
324,5.0,0.0
325,1986.0,1.2
326,1.0,0.0
327,3.0,0.3
328,11.0,0.3
329,194.0,1.5
330,8.0,0.1
331,14.0,1.4
332,,0.2
333,649.0,1.3
334,22.0,0.0
335,8.0,0.2
336,10.0,0.7
337,16.0,0.2
338,8.0,0.5
339,5.0,0.2
340,15.0,2.1
341,6.0,0.3
342,12.0,0.0
343,63.0,0.1
344,1986.0,1.5
345,11.0,0.0
346,6.0,0.0
347,6.0,0.2
348,34.0,0.0
349,19.0,0.3
350,21.0,0.1
351,7.0,1.0
352,12.0,0.0
353,770.0,2.8
354,20.0,1.2
355,261.0,1.9
356,12.0,0.0
357,7.0,0.0
358,22.0,0.0
359,488.0,1.6
360,2.0,0.2
361,11.0,0.1
362,12.0,0.0
363,6.0,0.0
364,6.0,0.0
365,27.0,0.0
366,67.0,0.0
367,89.0,1.2
368,14.0,0.2
369,7.0,1.4
370,11.0,0.1
371,435.0,1.5
372,8.0,0.3
373,,0.0
374,11.0,0.3
375,5.0,0.5
376,10.0,1.2
377,10.0,1.0
378,9.0,0.0
379,15.0,0.3
380,9.0,0.2
381,16.0,0.2
382,49.0,0.0
383,2420.0,1.5
384,28.0,0.1
385,345.0,1.9
386,13.0,0.3
387,47.0,2.1
388,378.0,1.6
389,96.0,1.3
390,42.0,0.0
391,2.0,0.2
392,3.0,0.7
393,12.0,0.2
394,19.0,0.0
395,1733.0,2.8
396,14.0,0.1
397,9.0,0.1
398,4.0,0.2
399,4.0,0.0
400,14.0,0.2
401,5.0,0.7
402,10.0,0.6
403,8.0,0.0
404,17.0,0.3
405,260.0,1.6
406,1733.0,1.5
407,37.0,2.1
408,19.0,0.0
409,10.0,0.3
410,6.0,0.0
411,3.0,0.2
412,8.0,0.0
413,2420.0,2.8
414,1203.0,1.9
415,6.0,1.2
416,1.0,0.5
417,1.0,0.5
418,10.0,0.3
419,11.0,0.3
420,613.0,1.5
421,7.0,0.1
422,3.0,1.0
423,345.0,1.2
424,15.0,0.0
425,20.0,0.0
426,8.0,0.0
427,9.0,0.2
428,116.0,1.3
429,13.0,0.0
430,1.0,0.2
431,17.0,0.0
432,1733.0,2.8
433,36.0,1.0
434,16.0,0.1
435,20.0,0.0
436,19.0,0.0
437,13.0,0.2
438,70.0,1.5
439,10.0,0.3
440,30.0,0.3
441,7.0,0.5
442,87.0,1.2
443,,1.9
444,6.0,0.1
445,98.0,0.0
446,8.0,0.0
447,76.0,0.2
448,20.0,0.7
449,5.0,0.2
450,6.0,0.0
451,27.0,0.0
452,65.0,1.3
453,119.0,1.6
454,67.0,2.1
455,24.0,0.3
456,16.0,0.3
457,29.0,0.1
458,51.0,0.0
459,201.0,0.0
460,37.0,1.2
461,30.0,1.0
462,1553.0,1.5
463,66.0,0.1
464,24.0,0.2
465,38.0,0.2
466,19.0,0.0
467,21.0,1.0
468,11.0,0.2
469,13.0,0.0
470,14.0,0.0
471,23.0,0.0
472,91.0,0.0
473,75.0,1.2
474,20.0,1.0
475,4.0,0.1
476,16.0,0.3
477,8.0,0.2
478,7.0,0.2
479,26.0,0.1
480,1986.0,1.5
481,38.0,0.1
482,7.0,0.0
483,6.0,0.3
484,74.0,2.1
485,238.0,1.6
486,8.0,0.2
487,19.0,0.0
488,12.0,0.2
489,11.0,0.7
490,65.0,0.2
491,4.0,0.0
492,4.0,0.0
493,16.0,0.0
494,727.0,2.8
495,,1.9
496,249.0,1.2
497,26.0,0.5
498,7.0,0.5
499,10.0,0.3
500,9.0,0.3
501,65.0,1.5
502,12.0,0.1
503,125.0,1.3
504,18.0,0.7
505,6.0,0.2
506,2.0,0.0
507,13.0,0.0
508,5.0,0.0
509,11.0,0.0
510,21.0,0.0
511,10.0,1.2
512,7.0,1.0
513,4.0,0.0
514,8.0,0.3
515,42.0,0.2
516,4.0,0.3
517,159.0,1.6
518,12.0,0.1
519,14.0,0.0
520,24.0,0.3
521,7.0,0.5
522,0.0,0.1
523,4.0,2.3
524,727.0,1.6
525,1986.0,1.3
526,1.0,0.4
527,,0.6
528,727.0,1.2
529,2.0,0.7
530,36.0,0.2
531,4.0,0.0
532,5.0,0.0
533,16.0,0.0
534,2420.0,2.8
535,1986.0,1.9
536,2.0,0.2
537,238.0,1.0
538,5.0,0.1
539,517.0,1.5
